TicketId,ConcertId,CustomerId,SeatNumber,Price
5001,101,1001,A1,350.0
5002,101,1002,A2,350.0
5003,102,1003,B10,425.0
5004,102,1004,B11,425.0
5005,103,1005,C5,480.0
5006,103,1006,C6,480.0
5007,104,1007,D12,210.0
5008,104,1008,D13,210.0
5009,105,1009,E3,275.0
5010,105,1010,E4,275.0
5011,106,1011,F8,315.0
5012,106,1012,F9,315.0
5013,107,1013,G15,260.0
5014,107,1014,G16,260.0
5015,108,1015,H1,185.0
5016,108,1016,H2,185.0
5017,109,1017,J7,195.0
5018,109,1018,J8,195.0
5019,110,1019,K20,525.0
5020,110,1020,K21,525.0
5021,111,1021,L4,240.0
5022,112,1022,M10,225.0
5023,113,1023,N2,190.0
5024,114,1024,P5,205.0
5025,115,1025,Q1,330.0
5026,116,1026,R6,145.0
5027,117,1027,S9,175.0
5028,118,1028,T14,215.0
5029,119,1029,U3,295.0
5030,120,1030,V8,155.0
5031,121,1001,W1,465.0
5032,121,1005,W2,465.0
5033,122,1010,X10,310.0
5034,122,1015,X11,310.0
5035,123,1020,Y7,280.0
5036,123,1025,Y8,280.0
5037,124,1030,Z4,535.0
5038,124,1002,Z5,535.0
5039,103,1018,C7,480.0
5040,117,1008,S10,175.0
