ConcertId,VenueName,City,ConcertDate,ArtistId
101,Madison Square Garden,New York,2026-06-12,1
102,SoFi Stadium,Los Angeles,2026-06-20,2
103,United Center,Chicago,2026-07-02,3
104,State Farm Arena,Atlanta,2026-07-10,4
105,Toyota Center,Houston,2026-07-18,5
106,Climate Pledge Arena,Seattle,2026-07-26,6
107,TD Garden,Boston,2026-08-03,7
108,T-Mobile Arena,Las Vegas,2026-08-11,8
109,Kia Forum,Inglewood,2026-08-19,9
110,Prudential Center,Newark,2026-08-27,10
111,Ball Arena,Denver,2026-09-04,11
112,American Airlines Center,Dallas,2026-09-12,12
113,Barclays Center,Brooklyn,2026-09-20,13
114,Chase Center,San Francisco,2026-09-28,14
115,Capital One Arena,Washington,2026-10-06,15
116,Walmart AMP,Rogers,2026-10-14,16
117,Bridgestone Arena,Nashville,2026-10-22,17
118,Footprint Center,Phoenix,2026-10-30,18
119,Amway Center,Orlando,2026-11-07,19
120,Moda Center,Portland,2026-11-15,20
121,Fiserv Forum,Milwaukee,2026-11-23,3
122,Paycom Center,Oklahoma City,2026-12-01,6
123,Smoothie King Center,New Orleans,2026-12-09,5
124,Target Center,Minneapolis,2026-12-17,10
